"N","d","G","beta","m","s","K","rank","ratio","beta.hat","V_LZ","V_HC1","V_HC2","V_HC3","V_LOO","V_CR","Neg","T_LZ","T_HC1","T_HC2","T_HC3","T_LOO","T_CR"
600,1,150,1,1,154,201,201,6.33662817767606,0.970774079220597,0.00294561112197051,0.00445178650164085,0.00447214551028122,0.00681022607343839,0.00457569084548064,0.00503313090610159,0,-0.538493539483268,-0.438027158687824,-0.437028983292006,-0.354150156632531,-0.432055826116804,-0.411954346775594
600,1,150,1,1,154,251,251,7.79373865182813,0.901542277770462,0.00315282876548582,0.00544761955691046,0.00538422577464157,0.00923274147491499,0.00837810841468791,0.0054226371047022,0,-1.75347505608221,-1.33397103351126,-1.34180112918021,-1.02467100410511,-1.0756644021545,-1.33704034937064
600,1,150,1,1,155,151,151,4.88143520280551,0.987206171897228,0.00309249640656834,0.00415331313627846,0.00410009119573566,0.00544398551325365,0.00604882463256891,0.0045684867238559,0,-0.230062539540845,-0.198519500331348,-0.199803804284701,-0.173397180269219,-0.164499663708746,-0.189284184215536
600,1,150,1,1,155,201,201,6.47199463895996,0.97100766069311,0.00284022136376187,0.00429250793988334,0.00425730451323132,0.00639696196300156,0.00596767526904224,0.0045136758487246,0,-0.544010351783238,-0.442514702993534,-0.44434050178429,-0.362490287400634,-0.375301817173085,-0.431537036984554
600,1,150,1,1,155,251,251,7.87705178478532,0.960475620393693,0.00360509420934292,0.00622906703158518,0.00616865200804623,0.0105917496317919,0.00722379732305863,0.00761937355449418,0,-0.658274076704937,-0.500787591696764,-0.503233942697043,-0.384044198226173,-0.465031407536307,-0.452798968309031
600,1,150,1,1,156,151,151,4.95914264668933,0.907706992732793,0.00382034301753629,0.00513083242590747,0.00506984720680404,0.00674433275288079,0.00648164165133388,0.00567246224003968,0,-1.49319875063101,-1.28847169322859,-1.29619804404297,-1.12382658773821,-1.14637389783563,-1.22541443092202
600,1,150,1,1,156,201,201,6.31435596147399,1.09114518610044,0.00436341252904094,0.00659455039838402,0.00651979744445235,0.00976955865507875,0.00770623117290197,0.00739735625411078,0,1.37981416438933,1.12238315528287,1.12879917757297,0.922138731741939,1.03827577108946,1.05973058485649
600,1,150,1,1,156,251,251,8.09958692179262,0.9803699206857,0.0045632649527517,0.00788464368002039,0.00776794561478143,0.0132676060908888,0.0153684233558637,0.0101458246252751,0,-0.290592373080071,-0.221070614551097,-0.222724999273747,-0.170422044002788,-0.158346109192795,-0.194884984464815
600,1,150,1,1,157,151,151,4.82002218912731,0.866394955142593,0.00220941868779693,0.00296731392802132,0.00295659695918135,0.00396511704340064,0.00407237686598189,0.00308917488555296,0,-2.84239117213308,-2.45268124208423,-2.45712241759194,-2.12175312967425,-2.09362490728482,-2.4038181470988
600,1,150,1,1,157,201,201,6.37052774756486,1.13361257698597,0.0027008845925163,0.00408192428449629,0.00407609635236159,0.00616863027544052,0.00698987318907033,0.00451308309603524,0,2.5709541206787,2.09129292373364,2.09278743696086,1.70119058220413,1.59813216293257,1.98888959325838
