"N","d","G","beta","m","s","K","rank","ratio","beta.hat","V_LZ","V_HC1","V_HC2","V_HC3","V_LOO","V_CR","Neg","T_LZ","T_HC1","T_HC2","T_HC3","T_LOO","T_CR"
600,1,150,1,3,1,151,151,5.18145820627209,0.930071420821882,0.00448349740965613,0.00602146817323513,0.00586658193649495,0.00776369674456252,0.00631017170812409,0.00634988684623682,0,-1.04435041261877,-0.901163320624421,-0.912981829032012,-0.793634287889231,-0.880306919745845,-0.87754967778627
600,1,150,1,3,1,201,201,7.05873431005834,0.982252435190216,0.00523671982091012,0.00791440473513943,0.00801150280829644,0.0125585917113599,0.00895631241750622,0.0101874111352698,0,-0.245250048257328,-0.1994939101949,-0.198281308460735,-0.15836831649642,-0.187531468123843,-0.175835618776781
600,1,150,1,3,1,251,251,8.57581768605831,0.986094839174612,0.00214559426065857,0.00370726802023369,0.00366494821572236,0.0065583775131971,0.00347553767907789,0.00397006240477106,0,-0.30019414454173,-0.228375243696416,-0.229690003790821,-0.171702971154842,-0.23586582275707,-0.220687304162477
600,1,150,1,3,2,151,151,5.13975154279099,0.984994153139708,0.0049252819207309,0.00661479769476797,0.00671367585537525,0.00929560687499193,0.0075749750576104,0.00768491012819449,0,-0.213818344581714,-0.184502487944161,-0.183138783663552,-0.155640148240073,-0.172412959410345,-0.171175306246853
600,1,150,1,3,2,201,201,6.83089723294028,0.863021897110424,0.00475419966119143,0.00718515819007333,0.00739590343433736,0.0117869183696367,0.00803251876401557,0.00938629581376516,0,-1.98660918313642,-1.61596883176613,-1.59277903632181,-1.26168520136322,-1.52835862683386,-1.41385225388631
600,1,150,1,3,2,251,251,8.140199125465,1.0589516826549,0.0025184777517509,0.00435155527768348,0.00419006711327315,0.00720760269858914,0.00554826447101006,0.00500528523834552,0,1.17470048031543,0.893663361994863,0.910721765635619,0.694385728036148,0.791439329929043,0.833262408628528
600,1,150,1,3,3,151,151,5.27515862362272,1.01161985660707,0.00405302727927763,0.00544333419594767,0.00545160138342095,0.00743320256208005,0.00597004024807412,0.00613940390998869,0,0.182520229147715,0.157495543442589,0.157376079536954,0.134776068873635,0.150387638318172,0.148298809796524
600,1,150,1,3,3,201,201,6.72088322652262,0.898092309326497,0.00442453084408913,0.00668692025939696,0.00664657058438729,0.010137596093035,0.00735167969057059,0.0081418740037718,0,-1.5320514375672,-1.24621762185878,-1.24999463663922,-1.01213738892723,-1.18853964260524,-1.12939216744645
600,1,150,1,3,3,251,251,7.79366896647219,1.1367814374409,0.00214394155419871,0.00370441238908393,0.00355949474254954,0.00627472825227667,0.00291559873067552,0.00387509279268715,0,2.95406938975964,2.24733336425454,2.29262479758243,1.72675094530441,2.53316388195272,2.19728357928389
600,1,150,1,3,4,151,151,5.35217342167853,1.01363245988019,0.0027495472190733,0.00369272234546174,0.00371134948295234,0.00508294079909489,0.00317693927587229,0.00396918540731591,0,0.259982213509193,0.224336996470126,0.223773318412478,0.191212686150383,0.24186318707724,0.216383198078235
600,1,150,1,3,4,201,201,6.67980509401459,0.884527208023365,0.00383208578917855,0.00579154107008617,0.00568711967981002,0.00865475814173783,0.00323586086996234,0.0063318490765478,0,-1.86535740294433,-1.51733891539917,-1.53120550838463,-1.24122981383014,-2.02994722160675,-1.45115696049998
600,1,150,1,3,4,251,251,8.054049605911,1.08472606066396,0.00217221450884544,0.00375326385299827,0.00354795862021537,0.00611133955809841,0.00310665361791346,0.00387308399149997,0,1.8178818738036,1.3829690668183,1.42241964388123,1.08379915242506,1.52009453489858,1.36140881024102
600,1,150,1,3,5,151,151,5.17913128895834,1.04444589596076,0.00313898083933305,0.0042157430892524,0.00403007244294887,0.00527429831572131,0.00304159909827602,0.00394887512965213,0,0.793299778392947,0.684533327041611,0.700124440921792,0.611997038193601,0.805899117033831,0.707285842314295
600,1,150,1,3,5,201,201,6.64790319563739,0.973624439108174,0.00606378216792274,0.00916436776148186,0.00857420602181165,0.0122905605271735,0.0102852133213629,0.00937965448944464,0,-0.338711473493912,-0.275518299610192,-0.284842472339267,-0.237911732167591,-0.260072871084558,-0.272338024900174
600,1,150,1,3,5,251,251,8.0267532034707,0.993146825800236,0.00322867390374958,0.00557866868429261,0.00519346448632745,0.00855465765544631,0.00701437237721697,0.00610709193280485,0,-0.120608989685273,-0.091754312707868,-0.0950962054838606,-0.0740952647268089,-0.0818271381510176,-0.0876949414328438
600,1,150,1,3,6,151,151,5.52967317739225,1.09009272250756,0.00500039664227467,0.00671567896307049,0.00677747140115468,0.00925109033721941,0.0128697796422263,0.0080158731500189,0,1.27405296708856,1.09937219213034,1.09434904738879,0.936684319689902,0.794152953813172,1.00626946208934
600,1,150,1,3,6,201,201,6.68323709201862,0.927535023009187,0.00557349210013422,0.00842337833168593,0.00823926315904153,0.0124529698809833,0.00202048097017379,0.0100474574036142,0,-0.970654033785459,-0.789559757570926,-0.798332797435454,-0.649369205802244,-1.61213266019284,-0.722936366198388
600,1,150,1,3,6,251,251,8.19921321133259,1.07942012566624,0.00250332840142214,0.00432537945169861,0.00420991904373015,0.00737755101899679,0.00599209774688979,0.00443509700646734,0,1.58734619972166,1.20758709582898,1.22403460960886,0.924643794059658,1.02598526907631,1.19255662184204
