"N","d","G","beta","m","s","K","rank","ratio","beta.hat","V_LZ","V_HC1","V_HC2","V_HC3","V_LOO","V_CR","Neg","T_LZ","T_HC1","T_HC2","T_HC3","T_LOO","T_CR"
600,1,150,1,4,1,151,151,7.94170177340582,0.871520209112305,0.0030680149357691,0.00412043380485873,0.00398260672188408,0.00527473386608751,0.0042227999019956,0.00421678541405456,0,-2.31956253929939,-2.00153574418522,-2.03587500230262,-1.76902733985957,-1.97712701242878,-1.97853651850849
600,1,150,1,4,1,201,201,10.6323168640706,0.950896092250986,0.00352078054567103,0.00532105653443242,0.00497263894883253,0.0071665191855801,0.00409735692607273,0.00561040546429694,0,-0.827554447940706,-0.673158166091984,-0.69634200161404,-0.580045312177089,-0.767121502795557,-0.6555697878369
600,1,150,1,4,1,251,251,12.8626372711973,1.04130761666257,0.00285183755583296,0.00492755147769449,0.00505514008380404,0.00938279176010547,0.00506061975307924,0.00632890717932587,0,0.773513229894758,0.588456755708174,0.580983154971767,0.42644605306971,0.580668523763531,0.519237170863329
600,1,150,1,4,2,151,151,8.0919360552665,1.00460750411299,0.00293161121417333,0.00393723961664958,0.00387702582510175,0.00522012195332254,0.00427127080417806,0.00420189492399233,0,0.0850966658454789,0.0734293710624234,0.0739973870792104,0.0637713200676572,0.0704996852405089,0.0710792992597829
600,1,150,1,4,2,201,201,9.95497098244128,0.935404834726235,0.00430934119862824,0.00651283084719765,0.00662635345284352,0.0105022411009052,0.00714033791533396,0.0081687328787541,0,-0.983998809675999,-0.80041480751687,-0.793528839219179,-0.630317001759546,-0.764435119631964,-0.714698163986427
600,1,150,1,4,2,251,251,12.5288570928246,0.984545128243231,0.00228933770790413,0.00395563533499714,0.0039987163977788,0.00723685478287782,0.00372532669810786,0.00441733408062336,0,-0.323005914624543,-0.245729491427536,-0.244402196032684,-0.181673037160003,-0.253211381807344,-0.232533368398391
600,1,150,1,4,3,151,151,8.29920725608158,0.927180203511116,0.0044182312629563,0.00593381382904028,0.00603829688470749,0.00833800756216049,0.00512559369689155,0.0071873074604526,0,-1.0955324315082,-0.945327958796973,-0.937113576487243,-0.797477279274392,-1.01713212772931,-0.858946964150139
600,1,150,1,4,3,201,201,10.6705101142067,1.104961186821,0.00414472712209636,0.00626404487595428,0.00609554890940155,0.00915033930733043,0.00485938388814074,0.00737994321210104,0,1.63034967493194,1.32617642258685,1.34438086557903,1.0972614802962,1.50569888234082,1.22180591340314
600,1,150,1,4,3,251,251,12.4581351865975,0.949757172817145,0.00262526513970408,0.00453606801412304,0.00417042452946435,0.00691441306888457,0.00533243322812522,0.00451591818117154,0,-0.980590052964144,-0.745992206656241,-0.778007773274524,-0.6042218258405,-0.688036307321696,-0.74765464687772
600,1,150,1,4,4,151,151,8.16565994842866,0.981351373489469,0.00483251431608776,0.00649020808807769,0.00655272679409257,0.0089902683408494,0.00664320619662033,0.00766561181972229,0,-0.268262690813953,-0.231482167606317,-0.23037525055643,-0.196680146792283,-0.228801035064409,-0.212996976929507
600,1,150,1,4,4,201,201,10.1466753181062,0.843251448762891,0.00267146475364846,0.00403746123892473,0.00396577016605653,0.00602294538462303,0.00213259942600792,0.00418538377429293,0,-3.0326955304003,-2.46688754635984,-2.48908521340187,-2.01975677220545,-3.39428958482022,-2.42290224506745
600,1,150,1,4,4,251,251,12.5585064356332,1.05404841704081,0.00316964558645734,0.005476676524359,0.00556939886741699,0.0101027474013111,0.00358756799791505,0.00723942215382129,0,0.960014133333721,0.730338901136078,0.724233847327326,0.537728718784109,0.902366384374116,0.635230040061997
